observations,r1,r2
1026,0.8455970639456271,0.8868019210521925
10260,,
10261,,
10262,,
10263,,
10264,,
10265,,
10266,,
10267,,
10268,,
10269,,
1027,1.0887613907079763,-1.6136361637857428
10270,,
10271,,
10272,,
10273,,
10274,,
10275,,
10276,,
10277,,
10278,,
10279,,
1028,0.8099668555046807,-3.057899510345389
10280,,
10281,,
10282,,
10283,,
10284,,
10285,,
10286,,
10287,,
10288,,
10289,,
1029,0.04007300692474357,-0.22389345680348868
10290,,
10291,,
10292,,
10293,,
10294,,
10295,,
10296,,
10297,,
10298,,
10299,,
103,0.4936061076639286,0.5311083223523276
1030,1.333765953723535,0.18095863284576919
10300,,
10301,,
10302,,
10303,,
10304,,
10305,,
10306,,
10307,,
10308,,
10309,,
1031,0.9296934306846736,-0.3364966432742157
10310,,
10311,,
10312,,
10313,,
10314,,
10315,,
10316,,
10317,,
10318,,
10319,,
1032,1.4255734856823754,0.8184026719025088
10320,,
10321,,
10322,,
10323,,
10324,,
10325,,
10326,,
10327,,
10328,,
10329,,
1033,-0.7580875171412926,-1.4311208943008302
10330,,
10331,,
10332,,
10333,,
10334,,
10335,,
10336,,
10337,,
10338,,
10339,,
1034,1.5787402708842135,0.39843434708673997
10340,,
10341,,
10342,,
10343,,
10344,,
10345,,
10346,,
10347,,
10348,,
10349,,
1035,-0.8483262291789875,1.4468230801260547
10350,,
10351,,
10352,,
10353,,
10354,,
10355,,
10356,,
10357,,
10358,,
10359,,
1036,-0.07823085962305686,0.22213849106069797
10360,,
10361,,
10362,,
10363,,
10364,,
10365,,
10366,,
10367,,
10368,,
10369,,
1037,0.06491397249229498,-0.23732492150279452
10370,,
10371,,
10372,,
10373,,
10374,,
10375,,
10376,,
10377,,
10378,,
10379,,
1038,-1.5612416570229617,1.1918035846946708
10380,,
10381,,
10382,,
10383,,
10384,,
10385,,
10386,,
10387,,
10388,,
10389,,
1039,-1.5466039102002156,-0.9665267427763765
10390,,
10391,,
10392,,
10393,,
10394,,
10395,,
10396,,
10397,,
10398,,
10399,,
104,-1.5859708002318904,-0.09638737933572974
1040,1.256529706124812,0.10201065117151939
10400,,
10401,,
10402,,
10403,,
10404,,
10405,,
10406,,
10407,,
10408,,
10409,,
1041,-0.6076276018559569,1.7601590848479918
10410,,
10411,,
10412,,
10413,,
10414,,
10415,,
10416,,
10417,,
10418,,
10419,,
1042,-0.2615002101758206,-0.0005071709289581197
10420,,
10421,,
10422,,
10423,,
10424,,
10425,,
10426,,
10427,,
10428,,
10429,,
1043,-0.2279106690906886,-1.053753922680103
10430,,
10431,,
10432,,
10433,,
10434,,
10435,,
10436,,
10437,,
10438,,
10439,,
1044,-0.19997391011860793,1.9731907028894853
10440,,
10441,,
10442,,
10443,,
10444,,
10445,,
10446,,
10447,,
10448,,
10449,,
1045,-0.9465723532159753,1.2551204504031381
10450,,
10451,,
10452,,
10453,,
10454,,
10455,,
10456,,
10457,,
10458,,
10459,,
1046,0.21118306494641406,-0.022420378194298592
10460,,
10461,,
10462,,
10463,,
10464,,
10465,,
10466,,
10467,,
10468,,
10469,,
1047,0.10889432777342638,0.9992109835421088
10470,,
10471,,
10472,,
10473,,
10474,,
10475,,
10476,,
10477,,
10478,,
10479,,
1048,1.5166202312147403,-0.13963001964588578
10480,,
10481,,
10482,,
10483,,
10484,,
10485,,
10486,,
10487,,
10488,,
10489,,
1049,1.0317349788622159,0.1518209041269288
10490,,
10491,,
10492,,
10493,,
10494,,
10495,,
10496,,
10497,,
10498,,
10499,,
105,-0.9925865738681032,-0.318956033611771
1050,-0.4015576065350675,-0.07916979731324054
10500,,
10501,,
10502,,
10503,,
10504,,
10505,,
10506,,
10507,,
10508,,
10509,,
1051,1.2863847618816417,-0.5607979012612089
10510,,
10511,,
10512,,
10513,,
10514,,
10515,,
10516,,
10517,,
10518,,
10519,,
1052,0.9001773821093276,0.6057303285511192
10520,,
10521,,
10522,,
10523,,
10524,,
10525,,
10526,,
10527,,
10528,,
10529,,
1053,1.6198284530770903,1.1885417460269687
10530,,
10531,,
10532,,
10533,,
10534,,
10535,,
10536,,
10537,,
10538,,
10539,,
1054,0.8786939684546106,0.10456989717306807
10540,,
10541,,
10542,,
10543,,
10544,,
10545,,
10546,,
10547,,
10548,,
10549,,
1055,0.6299350646454575,0.14923794027691298
10550,,
10551,,
10552,,
10553,,
10554,,
10555,,
10556,,
10557,,
10558,,
10559,,
1056,-0.8385978819294686,0.008509315941884503
10560,,
10561,,
10562,,
10563,,
10564,,
10565,,
10566,,
10567,,
10568,,
10569,,
1057,0.8334050386776364,-1.1924141610279446
10570,,
10571,,
10572,,
10573,,
10574,,
10575,,
10576,,
10577,,
10578,,
10579,,
1058,-0.21349471842710638,-0.3431688734446052
10580,,
10581,,
10582,,
10583,,
10584,,
10585,,
10586,,
10587,,
10588,,
10589,,
1059,-2.522012622751654,0.11357651794182735
10590,,
10591,,
10592,,
10593,,
10594,,
10595,,
10596,,
10597,,
10598,,
10599,,
106,0.0828175507358355,-1.2076264346717587
1060,0.13871142650999022,-1.1970505619643983
10600,,
10601,,
10602,,
10603,,
10604,,
10605,,
10606,,
10607,,
10608,,
10609,,
1061,-0.5611794769610915,-1.315457646409969
10610,,
10611,,
10612,,
10613,,
10614,,
10615,,
10616,,
10617,,
10618,,
10619,,
1062,-0.15532859468263438,0.807899845294614
10620,,
10621,,
10622,,
10623,,
10624,,
10625,,
10626,,
10627,,
10628,,
10629,,
1063,0.04640638965747824,-0.5280393992420601
10630,,
10631,,
10632,,
10633,,
10634,,
10635,,
10636,,
10637,,
10638,,
10639,,
1064,-1.448664467896285,-0.004848019225518201
10640,,
10641,,
10642,,
10643,,
10644,,
10645,,
10646,,
10647,,
10648,,
10649,,
1065,0.17025968013014117,-0.5292386606499376
10650,,
10651,,
10652,,
10653,,
10654,,
10655,,
10656,,
10657,,
10658,,
10659,,
1066,-0.631688394464332,-0.8320015108433471
10660,,
10661,,
10662,,
10663,,
10664,,
10665,,
10666,,
10667,,
10668,,
10669,,
1067,-0.8201328176331971,-0.4072286971091844
10670,,
10671,,
10672,,
10673,,
10674,,
10675,,
10676,,
10677,,
10678,,
10679,,
1068,-0.2966275243464766,0.11270609277318186
10680,,
10681,,
10682,,
10683,,
10684,,
10685,,
10686,,
10687,,
10688,,
10689,,
1069,-1.3450942160016321,0.28612762110790746
10690,,
10691,,
10692,,
10693,,
10694,,
10695,,
10696,,
10697,,
10698,,
10699,,
107,1.3816821340625713,1.6939184139310361
1070,-0.05674727545212375,1.4548727096964165
10700,,
10701,,
10702,,
10703,,
10704,,
10705,,
10706,,
10707,,
10708,,
10709,,
1071,0.5156083226099655,0.8538960787080346
10710,,
10711,,
10712,,
10713,,
10714,,
10715,,
10716,,
10717,,
10718,,
10719,,
1072,0.28702005031959715,-2.0396958802486296
10720,,
10721,,
10722,,
10723,,
10724,,
10725,,
10726,,
10727,,
10728,,
10729,,
1073,0.438383521999874,0.2450191070795472
10730,,
10731,,
10732,,
10733,,
10734,,
10735,,
10736,,
10737,,
10738,,
10739,,
1074,1.0341959709554023,-0.12113465947653183
10740,,
10741,,
10742,,
10743,,
10744,,
10745,,
10746,,
10747,,
10748,,
10749,,
1075,0.2688490902590062,1.4223890172285936
10750,,
10751,,
10752,,
10753,,
10754,,
10755,,
10756,,
10757,,
10758,,
10759,,
1076,1.1628325573775053,0.5700556772352621
10760,,
10761,,
10762,,
10763,,
10764,,
10765,,
10766,,
10767,,
10768,,
10769,,
1077,1.0171335092821883,-0.06905331698216259
10770,,
10771,,
10772,,
10773,,
10774,,
10775,,
10776,,
10777,,
10778,,
10779,,
1078,-0.9724315024408693,1.1030463630122453
10780,,
10781,,
10782,,
10783,,
10784,,
10785,,
10786,,
10787,,
10788,,
10789,,
1079,-0.3241519911603092,-0.4279335131620969
10790,,
10791,,
10792,,
10793,,
10794,,
10795,,
10796,,
10797,,
10798,,
10799,,
108,0.7880956761602699,0.029615941056202806
1080,0.0002741507904508488,-1.541984735410029
10800,,
10801,,
10802,,
10803,,
10804,,
10805,,
10806,,
10807,,
10808,,
10809,,
1081,0.6709227393088966,0.9394061332258813
10810,,
10811,,
10812,,
10813,,
10814,,
10815,,
10816,,
10817,,
10818,,
10819,,
1082,0.27411990908523104,-0.06568760895904681
10820,,
10821,,
10822,,
10823,,
10824,,
10825,,
10826,,
10827,,
10828,,
10829,,
1083,-0.5814390623249255,1.0254898224164315
10830,,
10831,,
10832,,
10833,,
10834,,
10835,,
10836,,
10837,,
10838,,
10839,,
1084,0.9840069121239869,-1.1252347413763701
10840,,
10841,,
10842,,
10843,,
10844,,
10845,,
10846,,
10847,,
10848,,
10849,,
1085,-1.3087635634559545,0.12724779375721423
10850,,
10851,,
10852,,
10853,,
10854,,
10855,,
10856,,
10857,,
10858,,
10859,,
1086,-0.6117190648800602,-0.3155530810964492
10860,,
10861,,
10862,,
10863,,
10864,,
10865,,
10866,,
10867,,
10868,,
10869,,
1087,0.7404386800089104,-0.044807224232864915
10870,,
10871,,
10872,,
10873,,
10874,,
10875,,
10876,,
10877,,
10878,,
10879,,
1088,1.7209422411912696,0.4543661961716096
10880,,
10881,,
10882,,
10883,,
10884,,
10885,,
10886,,
10887,,
10888,,
10889,,
1089,0.27392678965044165,0.447144198831763
10890,,
10891,,
10892,,
10893,,
10894,,
10895,,
10896,,
10897,,
10898,,
10899,,
109,-0.981603990864304,0.4866813745240013
1090,-0.14974762572964762,0.39797222190805653
10900,,
10901,,
10902,,
10903,,
10904,,
10905,,
10906,,
10907,,
10908,,
10909,,
1091,-0.6031409574023195,-1.082745375790781
10910,,
10911,,
10912,,
10913,,
10914,,
10915,,
10916,,
10917,,
10918,,
10919,,
1092,1.33475857462807,-0.31045573662546483
10920,,
10921,,
10922,,
10923,,
10924,,
10925,,
10926,,
10927,,
10928,,
10929,,
1093,-0.8876431095920073,1.3085289262197959
10930,,
10931,,
10932,,
10933,,
10934,,
10935,,
10936,,
10937,,
10938,,
10939,,
1094,-0.15369607994213333,2.8410886592062834
10940,,
10941,,
10942,,
10943,,
10944,,
10945,,
10946,,
10947,,
10948,,
10949,,
1095,0.19221057834134334,-0.7037518893318899
10950,,
10951,,
10952,,
10953,,
10954,,
10955,,
10956,,
10957,,
10958,,
10959,,
1096,-0.7589339946934657,0.4946377608702012
10960,,
10961,,
10962,,
10963,,
10964,,
10965,,
10966,,
10967,,
10968,,
10969,,
1097,0.04804612354279003,0.3684110758982551
10970,,
10971,,
10972,,
10973,,
10974,,
10975,,
10976,,
10977,,
10978,,
10979,,
1098,-0.6059847985338543,0.8698888230111572
10980,,
10981,,
10982,,
10983,,
10984,,
10985,,
10986,,
10987,,
10988,,
10989,,
1099,1.405077916102255,1.1768720901949081
10990,,
10991,,
10992,,
10993,,
10994,,
10995,,
10996,,
10997,,
10998,,
10999,,
11,0.562372991163294,-0.23730708922605098
110,-0.9494105936050795,-1.46977301308216
1100,-0.874008667148737,-0.192689721166145
11000,,
11001,,
11002,,
11003,,
11004,,
11005,,
11006,,
11007,,
11008,,
11009,,
1101,-0.16748004209556344,-1.3775341136263057
11010,,
11011,,
11012,,
11013,,
11014,,
11015,,
11016,,
11017,,
11018,,
11019,,
1102,1.0739782056387837,1.3980375276508394
11020,,
11021,,
11022,,
11023,,
11024,,
11025,,
11026,,
11027,,
11028,,
11029,,
1103,1.6355548607347998,1.0095820110815665
11030,,
11031,,
11032,,
11033,,
11034,,
11035,,
11036,,
11037,,
11038,,
11039,,
1104,0.39108734021223973,-1.5883528844614399
11040,,
11041,,
11042,,
11043,,
11044,,
11045,,
11046,,
11047,,
11048,,
11049,,
1105,0.025158146451707723,-0.4157623966840257
11050,,
11051,,
11052,,
11053,,
11054,,
11055,,
11056,,
11057,,
11058,,
11059,,
1106,0.007304257897234427,-0.4956499616176933
11060,,
11061,,
11062,,
11063,,
11064,,
11065,,
11066,,
11067,,
11068,,
11069,,
1107,-2.312712050070273,-0.575190584878846
11070,,
11071,,
11072,,
11073,,
11074,,
11075,,
11076,,
11077,,
11078,,
11079,,
1108,-1.17104186261494,-0.12637832825960002
11080,,
11081,,
11082,,
11083,,
11084,,
11085,,
11086,,
11087,,
11088,,
11089,,
1109,0.24327194230786517,-0.10794019671702834
11090,,
11091,,
11092,,
11093,,
11094,,
11095,,
11096,,
11097,,
11098,,
11099,,
111,-0.7202374538445089,0.04552769819871112
1110,-0.13019285961871743,-0.47257306379079056
11100,,
11101,,
11102,,
11103,,
11104,,
11105,,
11106,,
11107,,
11108,,
11109,,
1111,1.2918868903315532,-0.8899539348826647
11110,,
11111,,
11112,,
11113,,
11114,,
11115,,
11116,,
11117,,
11118,,
11119,,
1112,-0.5840803411535349,0.4289780922837229
11120,,
11121,,
11122,,
11123,,
11124,,
11125,,
11126,,
11127,,
11128,,
11129,,
1113,-0.23348532933996222,-1.6230741718478428
11130,,
11131,,
11132,,
11133,,
11134,,
11135,,
11136,,
11137,,
11138,,
11139,,
1114,0.21161803703629636,-0.9360005614185984
11140,,
11141,,
11142,,
11143,,
11144,,
11145,,
11146,,
11147,,
11148,,
11149,,
1115,1.9659910262200522,-1.0361834723937964
11150,,
11151,,
11152,,
11153,,
11154,,
11155,,
11156,,
11157,,
11158,,
11159,,
1116,-0.347877944702422,0.2979011439472787
11160,,
11161,,
11162,,
11163,,
11164,,
11165,,
11166,,
11167,,
11168,,
11169,,
1117,-0.5573992095169028,1.5215994184069441
11170,,
11171,,
11172,,
11173,,
11174,,
11175,,
11176,,
11177,,
11178,,
11179,,
1118,0.5670135578435618,0.09400267039974163
11180,,
11181,,
11182,,
11183,,
11184,,
11185,,
11186,,
11187,,
11188,,
11189,,
1119,-0.4633435950457543,-0.28458685472825435
11190,,
11191,,
11192,,
11193,,
11194,,
11195,,
11196,,
11197,,
11198,,
11199,,
112,0.12672721367241882,-0.0019081747101968329
1120,0.5953550441820176,0.8007667060661575
11200,,
11201,,
11202,,
11203,,
11204,,
11205,,
11206,,
11207,,
11208,,
11209,,
1121,-1.6074587724190852,-1.08861884460561
11210,,
11211,,
11212,,
11213,,
11214,,
11215,,
11216,,
11217,,
11218,,
11219,,
1122,-0.4458778487185671,0.5988343330452862
11220,,
11221,,
11222,,
11223,,
11224,,
11225,,
11226,,
11227,,
11228,,
11229,,
1123,-0.42110815779222627,-0.08798591130528698
11230,,
11231,,
11232,,
11233,,
11234,,
11235,,
11236,,
11237,,
11238,,
11239,,
1124,0.22952931191801992,0.7599108957337202
11240,,
11241,,
11242,,
11243,,
11244,,
11245,,
11246,,
11247,,
11248,,
11249,,
1125,-1.6290736521331057,-1.0836701986402208
11250,,
11251,,
11252,,
11253,,
11254,,
11255,,
11256,,
11257,,
11258,,
11259,,
1126,1.078150224989577,-0.36107479381757907
11260,,
11261,,
11262,,
11263,,
11264,,
11265,,
11266,,
11267,,
11268,,
11269,,
1127,0.5577850717241523,0.750233922405834
11270,,
11271,,
11272,,
11273,,
11274,,
11275,,
11276,,
11277,,
11278,,
11279,,
1128,0.9200872694981596,-0.2428653476850332
11280,,
11281,,
11282,,
11283,,
11284,,
11285,,
11286,,
11287,,
11288,,
11289,,
1129,1.5129836759576354,-1.9471508473301458
11290,,
11291,,
11292,,
11293,,
11294,,
11295,,
11296,,
11297,,
11298,,
11299,,
113,-1.611686657006716,0.6711688221523232
1130,-0.13011399057353037,1.0370710731614698
11300,,
11301,,
11302,,
11303,,
11304,,
11305,,
11306,,
11307,,
11308,,
11309,,
1131,-2.0951066024221876,0.9364371796992237
11310,,
11311,,
11312,,
11313,,
11314,,
11315,,
11316,,
11317,,
11318,,
11319,,
1132,1.8567875045674658,1.5945995022942339
11320,,
11321,,
11322,,
11323,,
11324,,
11325,,
11326,,
11327,,
11328,,
11329,,
1133,-0.22672768126364384,-0.5066216264930498
11330,,
11331,,
11332,,
11333,,
11334,,
11335,,
11336,,
11337,,
11338,,
11339,,
1134,-1.113936856714322,-1.0404404516400343
11340,,
11341,,
11342,,
11343,,
11344,,
11345,,
11346,,
11347,,
11348,,
11349,,
1135,0.4245387054198349,-0.7118542556939074
11350,,
11351,,
11352,,
11353,,
11354,,
11355,,
11356,,
11357,,
11358,,
11359,,
1136,2.1690060049680144,-0.3973612820206834
11360,,
11361,,
11362,,
11363,,
11364,,
11365,,
11366,,
11367,,
11368,,
11369,,
1137,0.058054881449508385,-0.9806797845427258
11370,,
11371,,
11372,,
11373,,
11374,,
11375,,
11376,,
11377,,
11378,,
11379,,
1138,1.0373904977189181,0.03607414323200907
11380,,
11381,,
11382,,
11383,,
11384,,
11385,,
11386,,
11387,,
11388,,
11389,,
1139,-0.8701507255702408,-1.0880310897134307
11390,,
11391,,
11392,,
11393,,
11394,,
11395,,
11396,,
11397,,
11398,,
11399,,
114,-1.2067123435019953,1.3112224529682834
1140,-1.6531720658667035,-1.124073346307179
11400,,
11401,,
11402,,
11403,,
11404,,
11405,,
11406,,
11407,,
11408,,
11409,,
1141,0.3816692419144452,-1.280317834127475
11410,,
11411,,
11412,,
11413,,
11414,,
11415,,
11416,,
11417,,
11418,,
11419,,
1142,0.5212367741717541,0.6383446534582657
11420,,
11421,,
11422,,
11423,,
11424,,
11425,,
11426,,
11427,,
11428,,
11429,,
1143,-0.5617473025550952,-1.2708225151391217
11430,,
11431,,
11432,,
11433,,
11434,,
11435,,
11436,,
11437,,
11438,,
11439,,
1144,1.3185450671889893,-0.1538701196709456
11440,,
11441,,
11442,,
11443,,
11444,,
11445,,
11446,,
11447,,
11448,,
11449,,
1145,-1.5081129663469548,0.513120849304478
11450,,
11451,,
11452,,
11453,,
11454,,
11455,,
11456,,
11457,,
11458,,
11459,,
1146,-1.4601402846959306,0.9463606517258669
11460,,
11461,,
11462,,
11463,,
11464,,
11465,,
11466,,
11467,,
11468,,
11469,,
1147,-0.9288619085836698,-0.6640856625475087
11470,,
11471,,
11472,,
11473,,
11474,,
11475,,
11476,,
11477,,
11478,,
11479,,
1148,-0.2908550673169627,0.7906594553508273
11480,,
11481,,
11482,,
11483,,
11484,,
11485,,
11486,,
11487,,
11488,,
11489,,
1149,1.2781843842809466,-0.3042618483317337
11490,,
11491,,
11492,,
11493,,
11494,,
11495,,
11496,,
11497,,
11498,,
11499,,
115,-0.5060189263416336,-1.2120500719290035
1150,0.2295796250600728,0.2846587578033619
11500,,
11501,,
11502,,
11503,,
11504,,
11505,,
11506,,
11507,,
11508,,
11509,,
1151,-0.6439103449320402,0.7239415508748683
11510,,
11511,,
11512,,
11513,,
11514,,
11515,,
11516,,
11517,,
11518,,
11519,,
1152,-1.1276466188611454,1.2871183893983702
11520,,
11521,,
11522,,
11523,,
11524,,
11525,,
11526,,
11527,,
11528,,
11529,,
1153,1.7035099832907914,1.0652441951673923
11530,,
11531,,
11532,,
11533,,
11534,,
11535,,
11536,,
11537,,
11538,,
11539,,
1154,-0.5346316020817992,-2.9369703106498997
11540,,
11541,,
11542,,
11543,,
11544,,
11545,,
11546,,
11547,,
11548,,
11549,,
1155,-1.5104249999570718,-0.3630740132943751
11550,,
11551,,
11552,,
11553,,
11554,,
11555,,
11556,,
11557,,
11558,,
11559,,
1156,0.33452263077736,-0.39810978825108134
11560,,
11561,,
11562,,
11563,,
11564,,
11565,,
11566,,
11567,,
11568,,
11569,,
1157,0.29215983855150673,0.02386936168362265
11570,,
11571,,
11572,,
11573,,
11574,,
11575,,
11576,,
11577,,
11578,,
11579,,
1158,-0.7239990212356889,-0.022004027185869444
11580,,
11581,,
11582,,
11583,,
11584,,
11585,,
11586,,
11587,,
11588,,
11589,,
1159,0.5296738632646333,-1.0772369331858567
11590,,
11591,,
11592,,
11593,,
11594,,
11595,,
11596,,
11597,,
11598,,
11599,,
116,-0.22877799508757563,-1.3940188443183281
1160,0.48538104958801714,-1.1051016875912905
11600,,
11601,,
11602,,
11603,,
11604,,
11605,,
11606,,
11607,,
11608,,
11609,,
1161,0.9998252757976196,-0.03260643774069253
11610,,
11611,,
11612,,
11613,,
11614,,
11615,,
11616,,
11617,,
11618,,
11619,,
1162,0.9801496526424732,-0.9435975843826145
11620,,
11621,,
11622,,
11623,,
11624,,
11625,,
11626,,
11627,,
11628,,
11629,,
1163,1.768668975019076,0.8940271022471762
11630,,
11631,,
11632,,
11633,,
11634,,
11635,,
11636,,
11637,,
11638,,
11639,,
1164,-0.5475988980112796,0.26464085272661575
11640,,
11641,,
11642,,
11643,,
11644,,
11645,,
11646,,
11647,,
11648,,
11649,,
1165,-0.19473745572118872,-0.08496427079304658
11650,,
11651,,
11652,,
11653,,
11654,,
11655,,
11656,,
11657,,
11658,,
11659,,
1166,-1.4838664345871337,0.009011134229628641
11660,,
11661,,
11662,,
11663,,
11664,,
11665,,
11666,,
11667,,
11668,,
11669,,
1167,2.4424390265803355,1.2050797408922778
11670,,
11671,,
11672,,
11673,,
11674,,
11675,,
11676,,
11677,,
11678,,
11679,,
1168,0.7627651959041205,1.5943439316462726
11680,,
11681,,
11682,,
11683,,
11684,,
11685,,
11686,,
11687,,
11688,,
11689,,
1169,-0.2025018937217144,1.5385229961886633
11690,,
11691,,
11692,,
11693,,
11694,,
11695,,
11696,,
11697,,
11698,,
11699,,
117,-0.2283032018191882,-0.03366645692407321
1170,0.8224131401415238,0.2513530574649011
11700,,
11701,,
11702,,
11703,,
11704,,
11705,,
11706,,
11707,,
11708,,
11709,,
1171,-0.19067752147041056,-1.3862717839047307
11710,,
11711,,
11712,,
11713,,
11714,,
11715,,
11716,,
11717,,
11718,,
11719,,
1172,1.3647726276004164,-1.9912149091105154
11720,,
11721,,
11722,,
11723,,
11724,,
11725,,
11726,,
11727,,
11728,,
11729,,
1173,0.5000562910790446,-0.5699108312470105
11730,,
11731,,
11732,,
11733,,
11734,,
11735,,
11736,,
11737,,
11738,,
11739,,
1174,-0.676201922414243,-0.49614786857695653
11740,,
11741,,
11742,,
11743,,
11744,,
11745,,
11746,,
11747,,
11748,,
11749,,
1175,-0.9920991304163337,0.13294662012111771
11750,,
11751,,
11752,,
11753,,
11754,,
11755,,
11756,,
11757,,
11758,,
11759,,
1176,1.0193241655841043,0.34899874446053225
11760,,
11761,,
11762,,
11763,,
11764,,
11765,,
11766,,
11767,,
11768,,
11769,,
1177,0.6887205253909107,-1.383629318300718
11770,,
11771,,
11772,,
11773,,
11774,,
11775,,
11776,,
11777,,
11778,,
11779,,
1178,0.8382028463465674,1.5627417612444177
11780,,
11781,,
11782,,
11783,,
11784,,
11785,,
11786,,
11787,,
11788,,
11789,,
1179,0.15607106452594838,1.4642654766212306
11790,,
11791,,
11792,,
11793,,
11794,,
11795,,
11796,,
11797,,
11798,,
11799,,
118,-0.238581491207345,-0.5658376470290156
1180,-0.3551761371652282,-0.8042815998987662
11800,,
11801,,
11802,,
11803,,
11804,,
11805,,
11806,,
11807,,
11808,,
11809,,
1181,1.3840788038214151,-1.1712600210064488
11810,,
11811,,
11812,,
11813,,
11814,,
11815,,
11816,,
11817,,
11818,,
11819,,
1182,1.9294709762963194,0.21898465470538234
11820,,
11821,,
11822,,
11823,,
11824,,
11825,,
11826,,
11827,,
11828,,
11829,,
1183,0.5896815810237435,1.0938291782598475
11830,,
11831,,
11832,,
11833,,
11834,,
11835,,
11836,,
11837,,
11838,,
11839,,
1184,1.0039055881474959,-0.03728913818715229
11840,,
11841,,
11842,,
11843,,
11844,,
11845,,
11846,,
11847,,
11848,,
11849,,
1185,0.5888557793083545,-0.08278301421658664
11850,,
11851,,
11852,,
11853,,
11854,,
11855,,
11856,,
11857,,
11858,,
11859,,
1186,-0.9811494084220828,-1.6607488281929175
11860,,
11861,,
11862,,
11863,,
11864,,
11865,,
11866,,
11867,,
11868,,
11869,,
1187,-0.822946368997805,-0.2805124405712433
11870,,
11871,,
11872,,
11873,,
11874,,
11875,,
11876,,
11877,,
11878,,
11879,,
